sector.technology|Technologie
admin.avg_response_time|Temps réponse moyen
admin.recent_activity|Activité Système Récente
admin.view_all|Voir tout
admin.active_exhibitors|Exposants Actifs
admin.registered_visitors|Visiteurs Inscrits
admin.official_partners|Sponsors Officiels
admin.conferences_workshops|Conférences & Ateliers
admin.detailed_metrics|Métriques & Performance Détaillées
admin.detailed_metrics_desc|Accédez aux analyses complètes de performance du salon SIB 2026
admin.full_metrics|Voir les Métriques Complètes
admin.admin_access_only|Accès Admin Uniquement
admin.email_templates_label|Templates Emails
admin.customize_label|Personnaliser
admin.online|en ligne
admin.sync_label|Synchronisation
admin.events_section|Événements
admin.articles_section|Articles
admin.pavilions_section|Pavillons Thématiques
admin.medias_section|Médias
admin.users_management|Gestion des utilisateurs
admin.exhibitors_management|Gestion des exposants
admin.partners_management|Gestion des sponsors
admin.events_management|Gestion des événements
admin.news_management|Gestion des articles
admin.pavilions_management|Gestion des pavillons thématiques
admin.vip_visitors|Gestion des visiteurs VIP
admin.live_studio_management|Gestion des Lives Studio
admin.media_manager|Gestionnaire de médias
admin.analytics|Statistiques
admin.settings|Paramètres
admin.salons_title|Gestion des salons
admin.salons_subtitle|Créez et gérez les éditions du salon
admin.salons_new|Nouveau salon
admin.salons_active|Salons actifs
admin.salons_default|Salon par défaut
admin.salons_empty|Aucun salon créé
admin.salons_load_error|Erreur de chargement : 
admin.salons_upload_error|Erreur upload : 
admin.salons_name_slug_required|Le nom et le slug sont obligatoires.
admin.salons_updated|Salon mis à jour.
admin.salons_created|Salon créé.
admin.salons_toggled|Salon mis à jour :
admin.salons_activated|activé
admin.salons_deactivated|désactivé
admin.salons_set_default|défini par défaut
admin.salons_unset_default|retiré du défaut
admin.salons_delete_confirm|Supprimer le salon "{name}" ? Cette action est irréversible.
admin.salons_deleted|Salon supprimé.
admin.salons_modal_edit|Modifier le salon
admin.salons_modal_create|Créer un salon
admin.salons_location|Lieu
admin.total_users|Utilisateurs totaux
admin.active_users_count|{{count}} utilisateurs actifs
admin.total_exhibitors|Exposants totaux
admin.total_partners|Sponsors totaux
admin.pending_approval|En attente d\
admin.approve|Approuver
admin.reject|Rejeter
admin.edit|Modifier
admin.delete|Supprimer
admin.edit_profile|Modifier le profil
admin.media_management|Gestion des médias
admin.new_exhibitor|Nouvel Exposant
admin.new_partner|Nouveau Sponsor
admin.new_event|Nouvel Événement
admin.new_article|Nouvel Article
admin.manage_exhibitors_desc|Gérez tous les exposants de la plateforme
admin.manage_partners_desc|Gérez tous les sponsors de la plateforme
admin.manage_events_desc|Gérez tous les événements de la plateforme
admin.manage_users_desc|Gérez tous les utilisateurs de la plateforme
admin.manage_news_desc|Gérez tous les articles et actualités de la plateforme
admin.back_to_media|Retour à la gestion des médias
admin.total_events|Total Événements
admin.upcoming|À venir
admin.types|Types
admin.this_month|Ce mois
admin.total_articles|Total Articles
admin.published|Publiés
admin.loading_events|Chargement des événements...
admin.loading_articles|Chargement des articles...
admin.search_event|Rechercher un événement...
admin.search_article|Rechercher un article...
admin.all_types|Tous les types
admin.media_management_title|Gestion des Médias
admin.media_management_desc|Validez, modérez et gérez tous les contenus médias
admin.new_media|Créer Nouveau Média
admin.total_media|Total Médias
admin.pending|En attente
admin.rejected|Rejetés
admin.status_published|Publié
admin.status_pending|En attente
admin.status_rejected|Rejeté
admin.loading|Chargement...
admin.no_media_found|Aucun média trouvé
admin.confirm_delete_media|Êtes-vous sûr de vouloir supprimer ce média ?
admin.pavilions_management_title|Gestion des Pavillons Thématiques
admin.pavilions_management_desc|Administration et organisation des pavillons SIB 2026
admin.create_pavilion|Créer Pavillon
admin.total_pavilions|Total Pavillons
admin.active_pavilions|Actifs
admin.total_exhibitors_in_pavilions|Exposants
visitor.registration.free.title|Inscription Visiteur Gratuit
visitor.registration.free.subtitle|Accès standard au salon SIB 2026
visitor.registration.free.badge_access|Accès Salon
visitor.registration.free.badge_qr|Badge QR
visitor.registration.free.badge_free|Gratuit
visitor.form.firstname|Prénom
visitor.form.lastname|Nom
visitor.form.email|Email professionnel
visitor.form.phone|Téléphone
visitor.form.country|Pays
visitor.form.sector|Secteur d\
visitor.form.position|Poste occupé
visitor.form.company|Entreprise / Organisme
visitor.form.password|Mot de passe
visitor.form.confirm_password|Confirmer le mot de passe
visitor.form.submit|Valider l\
visitor.form.submitting|Traitement en cours...
visitor.validation.firstname_required|Le prénom est requis
visitor.validation.lastname_required|Le nom est requis
visitor.validation.email_invalid|Adresse email invalide
visitor.validation.phone_invalid|Numéro de téléphone invalide
visitor.validation.country_required|Le pays est requis
visitor.validation.sector_required|Le secteur d\
visitor.validation.password_length|Le mot de passe doit faire au moins 12 caractères
visitor.validation.password_requirements|Le mot de passe doit contenir majuscule, minuscule, chiffre et caractère spécial
visitor.validation.password_match|Les mots de passe ne correspondent pas
visitor.validation.check_errors|Veuillez corriger les erreurs surlignées en rouge
visitor.sector.authority|Autorité urbaine
visitor.sector.logistics|Logistique
visitor.sector.consulting|Consulting
visitor.sector.student|Étudiant
visitor.sector.media|Média/Presse
visitor.sector.institutional|Institutionnel
visitor.free.features.title|Inclus avec votre compte gratuit :
visitor.free.features.list.1|Accès aux zones publiques du salon
visitor.free.features.list.2|Badge numérique simple
visitor.free.features.list.3|Newsletter SIB
visitor.free.features.list.4|Accès à l\
visitor.upsell.vip.title|Vous souhaitez plus d\
visitor.upsell.vip.button|Découvrir l\
visitor.message.email_check_error|Erreur lors de la vérification de l\
visitor.message.account_exists|Un compte existe déjà avec cet email
visitor.message.account_exists_desc|Veuillez vous connecter directement.
visitor.message.email_sent|Email de bienvenue envoyé !
visitor.message.success_title|Inscription réussie !
visitor.message.success_desc|Votre compte visiteur gratuit a été créé avec succès.
visitor.message.redirect|Redirection vers votre espace...
visitor.my_profile|Mon profil
visitor.my_appointments|Mes rendez-vous
visitor.my_favorites|Mes favoris
visitor.subscription_level|Niveau d\
visitor.member_since|Membre depuis
visitor.my_badge|Mon badge numérique
visitor.discover_exhibitors|Découvrir les exposants
visitor.registrations_title|Inscriptions
visitor.event_past|Passé
visitor.b2b_management_title|Gestion des Rendez-vous B2B
visitor.b2b_management_subtitle|Organisez vos rencontres avec les exposants
visitor.confirmed_agenda|Agenda Confirmé
visitor.no_upcoming_confirmed|Aucun rendez-vous confirmé à venir
visitor.past_appointments|Rendez-vous Passés
visitor.no_past_appointments|Aucun rendez-vous passé
visitor.cancelled_appointments|Rendez-vous Annulés
visitor.no_cancelled_appointments|Aucun rendez-vous annulé
visitor.appointment_cancelled|Annulé
visitor.select_next_meeting|Sélectionnez votre prochaine rencontre stratégique
visitor.error_loading_appointments|Impossible de charger les rendez-vous. Veuillez réessayer.
visitor.unauthorized_access|Accès non autorisé
visitor.please_login|Veuillez vous connecter pour accéder à cette page
visitor.visitor_area|Espace Visiteur
visitor.my_virtual_badge|Mon Badge Virtuel
visitor.connected|Connecté
visitor.appointments_remaining|Rendez-vous restants
visitor.b2b_appointments|Rendez-vous B2B
visitor.refused|Refusés
visitor.exhibitors_visited|Exposants visités
visitor.appointments_booked|Rendez-vous réservés
visitor.level_label|Niveau
visitor.events_registered|Événements inscrits
visitor.vip_benefits_title|Avantages VIP
visitor.vip_benefits_subtitle|Profitez de tous les privilèges premium
visitor.vip_appointments|10 Rendez-vous B2B
visitor.vip_appointments_desc|Profitez de 10 rendez-vous pour maximiser vos contacts
visitor.vip_messaging|Messagerie Illimitée
visitor.vip_messaging_desc|Contactez tous les exposants sans limite
visitor.vip_badge|Badge VIP Visible
visitor.vip_badge_desc|Soyez identifié comme visiteur premium
visitor.vip_ai_matching|Matching IA Privilégié
visitor.vip_ai_matching_desc|Algorithme prioritaire pour trouver les meilleurs contacts
visitor.vip_webinars|Accès Webinaires Exclusifs
visitor.vip_webinars_desc|Contenus réservés aux VIP
visitor.vip_support_priority|Support Prioritaire
visitor.vip_support_desc|Assistance dédiée 24/7
visitor.vip_news_priority|Actualités en Avant-Première
visitor.vip_news_desc|Recevez les news en priorité
visitor.ai_networking|Réseautage IA
visitor.ai_networking_desc|Découvrez les contacts pertinents avec notre IA
visitor.explore_network|Explorer le réseau
visitor.configure_matching|Configurer le matching
visitor.schedule_appointment|Planifier un rendez-vous
visitor.schedule_appointment_desc|Réservez un créneau avec un exposant
visitor.program_appointment|Programmer un rendez-vous
visitor.your_activity|Votre Activité
visitor.your_activity_desc|Suivez vos statistiques en temps réel
visitor.live|LIVE
visitor.visits|Visites
visitor.interactions|Interactions
visitor.currently|Actuellement
visitor.previous_period|Période précédente
visitor.confirmed_appointments|Rendez-vous confirmés
visitor.connections_established|Connexions établies
visitor.messaging|Messagerie
visitor.messaging_desc|Communiquez directement avec les exposants
visitor.open_messaging|Ouvrir la messagerie
events.unregister|Se désinscrire
appointments.calendar|Calendrier
partner.activation_required|Activation Requise
partner.payment_validation_needed|Pour accéder à votre espace sponsor, veuillez finaliser le paiement de votre pack de partenariat.
partner.finalize_payment|Finaliser le paiement
partner.access_denied|Accès refusé
partner.reserved_partners|Cette section est réservée aux sponsors officiels SIB
partner.hero_subtitle|Tableau de bord sponsor
partner.dashboard_title|Tableau de Bord Sponsor
partner.tier_label|Sponsor
partner.confirm_reject_title|Confirmer le refus
partner.confirm_reject_body|Êtes-vous sûr de vouloir refuser ce rendez-vous ? Cette action est irréversible.
partner.virtual_badge|Badge Virtuel Sponsor
partner.roi_performance|Performance ROI
partner.dashboard_live|Dashboard LIVE
partner.tabs.overview|Vue d\
partner.tabs.profile|Profil
partner.tabs.networking|Réseautage
partner.tabs.analytics|Analytiques
partner.payment_validation_required|Validation de Paiement Requise
partner.payment_activation_message|Votre profil sponsor sera activé après validation de votre paiement par notre équipe.
partner.make_payment|Effectuer le paiement
partner.stats.profile_views|Vues profil
partner.stats.connections|Connexions
partner.stats.appointments|Rendez-vous
partner.stats.messages|Messages
partner.quotas.title|Vos Quotas Sponsor
partner.quotas.appointments|Rendez-vous
partner.quotas.team_members|Membres équipe
partner.quotas.media_files|Fichiers média
partner.recent_activity|Activité Récente
partner.ai_generation|Génération Profile IA
partner.ai_description|Laissez notre IA créer automatiquement votre profil sponsor à partir de votre site web
partner.ai_button|🤖 Générer avec l\
partner.manual_management|Gestion Manuelle
partner.edit_basic_info|✏️ Modifier les informations de base
partner.media_catalog|📸 Catalogue média
partner.appointments_management|Gestion des Rendez-vous
partner.appointments_description|Suivez et gérez vos demandes de rendez-vous
partner.confirmed_appointments|rendez-vous confirmés
partner.no_pending_requests|Aucune demande en attente
partner.pending_requests_appear_here|Les nouvelles demandes apparaîtront ici
partner.no_message|Aucun message
partner.share_scheduling_link|Partager votre lien de planification
partner.share_calendar_description|Partagez votre calendrier avec vos contacts
partner.copy_virtual_booth_link|🔗 Copier le lien de mon stand virtuel
partner.analytics_titles.brand_visibility|Visibilité de marque (7 derniers jours)
partner.analytics_titles.engagement_channels|Canaux d\
partner.global_roi_performance|Performance ROI Globale
partner.export_pdf_report|Exporter le rapport PDF
partner.analytics_titles.metrics_distribution|Distribution des métriques
partner.autofill_profile_ai|Remplir automatiquement avec IA
partner.autofill_description|Laissez notre IA analyser votre site web et remplir votre profil
partner.edit_profile_manually|Modifier le profil manuellement
partner.update_company_info|Mettre à jour les informations de l\
chat.messages|Messages
visitor.discover_exhibitors_desc|Explorez les stands et trouvez les solutions qui vous intéressent
visitor.view_exhibitors|Voir les exposants
visitor.confirmed_count|{{count}} Confirmés
visitor.pending_count|{{count}} En attente
visitor.tab_upcoming|À venir ({{count}})
visitor.tab_past|Passés ({{count}})
visitor.tab_cancelled|Annulés ({{count}})
visitor.ics_downloaded|Fichier .ics téléchargé
visitor.google_calendar_opened|Ouverture de Google Calendar
visitor.outlook_opened|Ouverture d\
visitor.open_google_calendar|Ouvrir dans Google Calendar
visitor.retry_appointment|Relancer
visitor.choose_b2b_slot|Choisir un créneau B2B
visitor.choose_b2b_slot_desc|Sélectionnez votre prochaine rencontre stratégique
partner.my_profile|Mon profil
partner.my_events|Mes événements
partner.my_booth|Mon stand
partner.analytics|Mon rapport
partner.contacts|Mes contacts
exhibitor.my_profile|Mon profil
exhibitor.my_booth|Mon stand
exhibitor.appointments|Mes rendez-vous
exhibitor.messages|Mes messages
exhibitor.analytics|Statistiques
exhibitor.booth_size|Taille du stand
exhibitor.booth_location|Localisation du stand
exhibitor.error_load_appointments|Impossible de charger les rendez-vous
exhibitor.error_load_dashboard|Impossible de charger le tableau de bord
exhibitor.error_toggle_visibility|Impossible de modifier la visibilité
exhibitor.error_unauthorized_confirm|Vous n\
exhibitor.error_accept_failed|Impossible d\
exhibitor.error_unauthorized_reject|Vous n\
exhibitor.confirm_reject|Êtes-vous sûr de vouloir refuser ce rendez-vous ? Cette action est irréversible.
exhibitor.error_reject_failed|Impossible de refuser le rendez-vous
exhibitor.toast_profile_visible|✅ Votre profil est maintenant visible publiquement
exhibitor.toast_profile_hidden|🔒 Votre profil est maintenant masqué du public
exhibitor.header.published_tooltip_hide|Masquer mon profil du public
exhibitor.header.published_tooltip_show|Afficher mon profil au public
exhibitor.header.changing|⏳ Changement...
exhibitor.header.published_status|✓ Publié
exhibitor.header.hidden_status|🔒 Masqué
exhibitor.header.virtual_badge|Badge Virtuel
exhibitor.header.create_edit_minisite|Créer/Éditer Mini-Site
exhibitor.status.confirmed|Confirmés
exhibitor.status.pending|En attente
exhibitor.status.completed|Terminés
exhibitor.stats.mini_site_views|Vues Mini-Site
exhibitor.stats.appointments|Rendez-vous
exhibitor.stats.downloads|Téléchargements
exhibitor.stats.messages|Messages
exhibitor.modals.views_title|Vues de votre Mini-Site
exhibitor.modals.views_text|{{count}} visites ont été enregistrées sur votre mini-site.
exhibitor.modals.views_chart_title|Évolution des vues
exhibitor.modals.views_footer|Votre mini-site attire l\
exhibitor.modals.appointments_title|Détails des Rendez-vous
exhibitor.modals.appointments_text|{{count}} rendez-vous sont actuellement enregistrés dans votre espace exposant.
exhibitor.modals.appointments_chart_title|Répartition par statut
exhibitor.modals.appointments_action|Gérer mes rendez-vous
exhibitor.modals.downloads_title|Téléchargements de Catalogues
exhibitor.modals.downloads_text|{{count}} téléchargements de vos catalogues ont été effectués.
exhibitor.modals.downloads_chart_title|Téléchargements par période
exhibitor.modals.messages_title|Activité Messagerie
exhibitor.modals.messages_text|{{count}} messages ont été reçus via votre espace exposant.
exhibitor.modals.messages_chart_title|Messages reçus
exhibitor.modals.messages_action|Voir mes messages
exhibitor.chart_minisite_views|Vues Mini-Site
exhibitor.chart_downloads|Téléchargements
exhibitor.chart_messages|Messages
exhibitor.chart_connections|Connexions
exhibitor.qr_download_success|Téléchargement Réussi
exhibitor.qr_download_success_text|Le QR code de votre stand a été téléchargé avec succès !
exhibitor.qr_download_error|Erreur de Téléchargement
exhibitor.qr_download_error_text|Une erreur s\
exhibitor.quota_b2b|Rendez-vous B2B
exhibitor.quota_team|Membres équipe
exhibitor.quota_demo|Sessions démo
exhibitor.quota_scans|Scans badges/jour
exhibitor.quota_media|Fichiers média
exhibitor.stats_views|Vues Mini-Site
exhibitor.stats_requests|Demandes de RDV
exhibitor.stats_downloads|Téléchargements
exhibitor.stats_messages|Messages
exhibitor.calendar_title|Gestion Calendaire
exhibitor.calendar_hub|Hub
exhibitor.calendar_subtitle|Centralisez vos disponibilités et gérez vos rendez-vous stratégiques dans un espace dédié haut de gamme.
exhibitor.tab_availability|Mes Disponibilités
exhibitor.tab_appointments|Agenda Personnel
exhibitor.analytics_title|Performance & Analytics
exhibitor.analytics_realtime|Données en temps réel
exhibitor.analytics_visits|Visites
exhibitor.analytics_interactions|Interactions
exhibitor.analytics_appointment_status|Statut des Rendez-vous
exhibitor.analytics_activity_breakdown|Répartition des Activités
exhibitor.analytics_empty_title|Vos statistiques apparaîtront ici
exhibitor.analytics_empty_desc|Configurez votre mini-site et commencez à recevoir des visites pour voir vos données de performance.
exhibitor.analytics_no_appointments|Aucun rendez-vous enregistré
exhibitor.analytics_no_activity|Aucune activité enregistrée
exhibitor.alert_pending_singular|demande de rendez-vous en attente
exhibitor.alert_pending_plural|demandes de rendez-vous en attente
exhibitor.alert_pending_hint|Répondez dès maintenant pour confirmer votre agenda.
exhibitor.alert_pending_cta|Voir les demandes
exhibitor.period_this_week|Cette semaine
exhibitor.period_last_week|Semaine dernière
exhibitor.period_current|Actuellement
exhibitor.period_previous|Période précédente
exhibitor.period_confirmed|Rendez-vous confirmés
exhibitor.period_new_connections|Nouvelles connexions
exhibitor.quick_actions_title|Actions Rapides
exhibitor.quick_actions_subtitle|Accès direct à vos outils essentiels
exhibitor.quick_actions.create_minisite_ai|Créer Mini-Site IA
exhibitor.quick_actions.create_minisite_ai_desc|Générer votre mini-site avec l\
exhibitor.quick_actions.networking_ai|Networking IA
exhibitor.quick_actions.networking_ai_desc|Trouvez des contacts pertinents avec l\
exhibitor.quick_actions.edit_minisite|Éditer Mini-Site
exhibitor.quick_actions.edit_minisite_desc|Personnaliser votre page de présentation
exhibitor.quick_actions.advanced_networking|Réseautage Avancé
exhibitor.quick_actions.advanced_networking_desc|Explorez et connectez-vous avec des contacts qualifiés
exhibitor.quick_actions.ai_matching|Matching IA
exhibitor.quick_actions.ai_matching_desc|Trouvez les meilleurs sponsors grâce à l\
exhibitor.quick_actions.profile|Mon Profil
exhibitor.quick_actions.profile_desc|Gérer vos informations et préférences
exhibitor.quick_actions.qr_code|QR Code
exhibitor.quick_actions.qr_code_desc|Afficher votre QR code pour faciliter les échanges
exhibitor.appointments_received|Rendez-vous reçus
exhibitor.appointments_received_subtitle|Gérez vos demandes et confirmations
exhibitor.appointments_upcoming|À venir
exhibitor.appointments_past|Passés
exhibitor.appointments_cancelled|Annulés
exhibitor.appointments_loading|Chargement des rendez-vous...
exhibitor.appointments_no_pending|Aucune demande en attente
exhibitor.appointments_no_pending_hint|Les nouvelles demandes apparaîtront ici
exhibitor.appointments_badge_new|Nouveau
exhibitor.appointments_request_from|Demande de
exhibitor.appointments_no_message|Aucun message
exhibitor.appointments_confirming|⏳ Confirmation...
exhibitor.appointments_accept|✓ Accepter
exhibitor.appointments_rejecting|⏳ Refus...
exhibitor.appointments_reject|✕ Refuser
exhibitor.appointments_confirmed_upcoming|Rendez-vous confirmés à venir
exhibitor.appointments_with|Avec
exhibitor.appointments_badge_confirmed|✓ Confirmé
exhibitor.appointments_no_past|Aucun rendez-vous passé
exhibitor.appointments_no_past_hint|L\
exhibitor.appointments_badge_completed|Terminé
exhibitor.appointments_no_cancelled|Aucun rendez-vous annulé
exhibitor.appointments_no_cancelled_hint|Les annulations apparaîtront ici
exhibitor.appointments_badge_cancelled|Annulé
exhibitor.activity_recent_title|Activité Récente
exhibitor.activity_none|Aucune activité récente
exhibitor.activity_view_all|Voir toute l\
exhibitor.activity.view_all|Toutes les Activités
exhibitor.activity.none|Aucune activité récente
exhibitor.info_title|Informations Importantes
exhibitor.info_subtitle|Détails essentiels du salon
exhibitor.info_booth_opening|Stand Ouverture
exhibitor.info_every_day|Tous les jours du salon
exhibitor.info_objective|Objectif 2026
exhibitor.info_expected_visitors|visiteurs attendus
exhibitor.qr_modal_title|QR Code Stand Exposant
exhibitor.qr_modal_subtitle|Scannez ce code pour accéder rapidement à votre stand
exhibitor.qr_label_company|Entreprise :
exhibitor.qr_label_contact|Contact :
exhibitor.qr_label_email|Email :
exhibitor.qr_label_stand|Stand :
exhibitor.qr_not_assigned|Non attribué
exhibitor.qr_valid_until|Valide jusqu\
exhibitor.qr_downloading|⏳ Téléchargement...
exhibitor.qr_download|📥 Télécharger
exhibitor.ics_downloaded|Fichier .ics téléchargé
exhibitor.google_calendar_opened|Ouverture de Google Calendar
exhibitor.outlook_opened|Ouverture d\
exhibitor.error_generic|Une erreur est survenue
admin.verified|Vérifié
status.confirmed|Confirmé
status.pending|En attente
status.completed|Terminé
status.cancelled|Annulé
actions.accept|Accepter
actions.view|Voir
actions.manage|Gérer
actions.access|Accéder
errors.accept_appointment|Impossible d\
errors.reject_appointment|Impossible de refuser le rendez-vous
errors.unregister_event|Impossible de se désinscrire de l\
common.events|Événements
common.connections|Connexions
common.impressions|Impressions
common.interactions|Interactions
common.back_to_dashboard|Retour au Tableau de Bord
common.days.mon|Lun
common.days.tue|Mar
common.days.wed|Mer
common.days.thu|Jeu
common.days.fri|Ven
common.days.sat|Sam
common.days.sun|Dim
home.book_appointment|Réserver un rendez-vous
home.verified|Vérifié
home.featured_partners_title|Sponsors à la Une
home.featured_partners_desc|Les organisations leaders qui soutiennent SIB 2026
home.discover_all|Découvrez tous les sponsors
home.discover_all_exhibitors|Découvrez tous les exposants
home.featured_exhibitors_title|Exposants à la Une
home.featured_exhibitors_desc|Les meilleurs exposants du salon
home.views|vues
home.benefits|avantages
home.see_profile|Voir le Profil
home.contact_partner|Contacter
home.products|produits
home.make_appointment|Prendre RDV
home.ai_assistant|Assistant IA
home.ai_assistant_toast|SIB AI Assistant v3.0 - Connectez-vous pour accéder à l\
categories.institutional|Institutionnel
categories.bâtiment-industry|Industrie du Bâtiment
categories.bâtiment-operations|Exploitation & Gestion
categories.academic|Académique & Formation
home.networking_label|Réseautage Intelligent
home.networking_title|Connectez-vous avec les Bons Sponsors
home.networking_desc|Trouvez et connectez-vous avec des professionnels du secteur de la construction
home.feature_matching|Correspondance Intelligente
home.feature_matching_desc|Notre IA analyse vos profils pour trouver les meilleures correspondances
home.feature_chat|Messagerie en Temps Réel
home.feature_chat_desc|Communiquez instantanément avec vos contacts
home.feature_appointments|Rendez-vous Planifiés
home.feature_appointments_desc|Organisez vos rencontres avec un calendrier intégré
home.feature_global|Plateforme Mondiale
home.feature_global_desc|Connectez-vous avec des professionnels du monde entier
home.cta_networking|Explorer le Réseautage
home.cta_member|Devenir Membre
home.stats_professionals|Professionnels
home.stats_countries|Pays
home.stats_exhibitors|Exposants
home.stats_satisfaction|Satisfaction
home.trusted_by|Ils nous font confiance
home.logo_showcase_title|Nos Partenaires & Exposants
salon.exhibitors|Exposants
salon.visitors|Visiteurs Professionnels
salon.conferences|Conférences & Panels
salon.countries|Pays Représentés
hero.countdown.title|Ouverture dans
hero.countdown.subtitle|Parc d\
hero.stats.location|El Jadida, Maroc
hero.stats.participants|200 000+ Visiteurs
hero.stats.exhibitors|600+ Exposants · 50 Pays
hero.cta.discover|Découvrir
time.days|Jours
time.hours|Heures
time.minutes|Minutes
time.seconds|Secondes
time.day|Jour
time.hour|Heure
time.minute|Minute
time.second|Seconde
stats.exhibitors|Exposants
stats.visitors|Visiteurs
stats.countries|Pays
stats.conferences|Conférences
login.remember_me|Se souvenir de moi
login.button|Se connecter
login.connecting|Connexion
login.demo_accounts|Connexion rapide - Comptes de démonstration
login.demo_admin|Admin Principal
login.demo_exhibitors|Exposants
login.demo_partners|Sponsors
login.demo_visitors|Visiteurs
login.demo_free|Gratuit
login.demo_vip|VIP
actions.share|Partager
actions.next|Suivant
actions.previous|Précédent
actions.success|Succès
actions.error|Erreur
messages.confirm_delete|Êtes-vous sûr de vouloir supprimer ?
messages.confirm_action|Êtes-vous sûr ?
messages.saved|Sauvegardé avec succès
messages.deleted|Supprimé avec succès
messages.error|Une erreur s\
messages.no_data|Aucune donnée disponible
profile.name|Nom
profile.email|Email
profile.phone|Téléphone
profile.company|Entreprise
